21.08392,44.33911,[167695-],[167695-]
21.08089,44.34267,[167696-],[167696-]
20.91217,43.63589,[167700-],[167700-]
26.60014,43.50489,[168029],[168029]
20.07006,43.84883,[168696-],[168696-]
20.59731,44.30353,[168892-],[168892-]
20.36675,44.84044,[169396-],[169396-]
23.58575,43.18508,[169600],[169600]
24.54844,43.49872,[169845],[169845]
20.18119,46.26947,[169847],[169847]
20.41347,44.76397,[169871-],[169871-]
20.41364,44.76403,[169872-],[169872-]
20.47978,44.85914,[169984-],[169984-]
20.30867,44.88939,[170114-],[170114-]
25.56136,45.33175,bs,[170245]
20.41575,44.58111,[170261-],[170261-]
21.84519,43.35164,[170291-],[170291-]
21.23297,45.74825,[170462],[170462]
20.15344,45.06864,[170784-],[170784-]
20.48672,44.80067,[171343-],[171343-]
20.03642,45.24156,[171361],[171361]
28.26033,46.41592,[171472-],[171472-]
20.03117,45.24469,Maut (?),[171477-]
23.55953,43.22306,[171935],[171935]
20.44061,44.81447,[172264-],[172264-]
20.08897,45.13297,[172286-],[172286-]
20.14861,45.07217,[172287-],[172287-]
21.44547,43.75169,[172295-],[172295-]
21.73292,43.52086,[172298-],[172298-]
20.41536,44.80408,[172299-],[172299-]
20.13467,44.35583,[172300-],[172300-]
20.08581,45.14031,[172301-],[172301-]
20.13564,46.23989,[172705],[172705]
21.43561,43.85725,[172816-],[172816-]
21.4355,43.85589,removed (?),[172817-]
20.68175,44.89653,street monitoring (?),[173124-]
20.89369,43.6345,[173322-],[173322-]
20.12539,44.45411,[173632-],[173632-]
21.85803,43.34861,[173924-],[173924-]
20.19736,46.21775,[174502],[174502]
28.51369,47.60714,[174570-],[174570-]
28.74058,47.06939,[174585-],[174585-]
28.61494,47.151,[174586-],[174586-]
20.12356,44.36086,[174593-],[174593-]
28.58683,47.27494,[174706-],[174706-]
28.33653,47.24522,[174805-],[174805-]
29.38069,46.88375,[174830-],[174830-]
28.63972,47.1405,[174833-],[174833-]
28.97478,47.06656,[174903-],[174903-]
28.52475,47.59617,[174946-],[174946-]
20.12294,44.45953,[174984-],[174984-]
28.28978,47.254,[175065-],[175065-]
21.65839,47.54369,[175068],[175068]
20.20769,47.13875,[175422],[175422]
20.35597,44.8075,[175745-],[175745-]
20.40811,44.81089,[175746-],[175746-]
21.80961,43.32603,[176180-],[176180-]
20.47261,44.77672,[176181-],[176181-]
20.52156,44.32789,[176182-],[176182-]
20.47247,44.77664,[176342-],[176342-]
20.379,44.04783,[176566],[176566]
21.97839,47.97331,[176600],[176600]
20.41828,44.83508,[177186-],[177186-]
29.50961,46.83483,[177300-],[177300-]
29.67681,46.79589,[177400-],[177400-]
28.77781,47.04864,[177504-],[177504-]
28.77814,47.04858,[177505-],[177505-]
20.19472,46.20428,[177649],[177649]
21.69956,47.82058,[177650],[177650]
29.60994,46.83581,[177838-],[177838-]
29.60994,46.836,[177839-],[177839-]
29.52761,46.83578,[177848-],[177848-]
21.02914,44.48506,[177868-],[177868-]
20.96689,44.58431,[1177868001-],[1177868001-]
20.82161,44.58408,[1177868002-],[1177868002-]
21.72183,47.95758,[178036],[178036]
21.06739,46.66833,BS,[178037]
20.16981,46.26353,BS,[178053]
21.12228,46.66561,BS,[178054]
20.18356,46.24156,BS,[178055]
20.16731,46.25861,BS,[178058]
20.18422,46.25897,BS,[178061]
20.11967,46.28106,[178062],[178062]
29.6505,46.82922,[178362-],[178362-]
29.60872,46.86886,[178370-],[178370-]
20.37322,45.38175,[178989],[178989]
20.40836,45.38383,[178991-],[178991-]
20.37967,45.3825,[179364-],[179364-]
20.282,44.94603,[179782-],[179782-]
20.13831,44.89067,[179783-],[179783-]
20.24767,44.77931,[179784-],[179784-]
20.26886,44.79072,[179785-],[179785-]
20.08525,44.22336,[179788-],[179788-]
21.40361,43.86903,[179789-],[179789-]
20.06683,44.26944,[179790-],[179790-]
20.63536,44.87286,[179791-],[179791-]
20.68008,44.87161,[179792-],[179792-]
20.25269,44.91864,[180116-],[180116-]
29.68781,46.00228,[180259-],[180259-]
29.90339,46.135,[180268-],[180268-]
20.02822,45.61567,[180415-],[180415-]
20.23286,47.09353,[180864],[180864]
29.61164,46.85506,[180994-],[180994-]
20.66561,43.70653,[181073-],[181073-]
26.01986,43.77731,[181241],[181241]
22.87142,44.01608,[181317],[181317]
25.98186,43.81336,[181350],[181350]
21.07292,44.14808,[181401-],[181401-]
22.11086,47.83978,[181560-],[181560-]
22.13831,47.83094,[181698-],[181698-]
20.83075,47.87836,[181700],[181700]
29.56558,46.83597,[181724-],[181724-]
26.87419,45.2385,[182043-],[182043-]
22.92506,44.02217,[182052-],[182052-]
21.52533,47.2365,[182070-],[182070-]
22.11925,47.84683,[182199-],[182199-]
20.70881,43.72569,[182284-],[182284-]
20.18361,46.868,BS,[182294]
21.53469,47.23825,[182295],[182295]
29.58158,46.83767,[182335-],[182335-]
21.6515,47.53131,BS,[182430]
20.39128,47.91097,BS,[182431]
26.88333,45.25214,[183261-],[183261-]
28.25103,46.40828,[183658-],[183658-]
20.35028,46.27136,[183764-],[183764-]
26.04719,45.95619,[183765-],[183765-]
26.80589,43.68689,[183816-],[183816-]
20.25903,44.67861,[183841-],[183841-]
20.25325,44.81428,[183883-],[183883-]
20.0285,45.63833,[183961-],[183961-]
20.39906,44.82925,[184413-],[184413-]
21.30906,46.63764,[185027],[185027]
20.02206,45.61292,[185280-],[185280-]
20.47581,45.83631,[185765-],[185765-]
22.11764,47.83397,[185893-],[185893-]
29.46161,46.84483,[186460-],[186460-]
29.62506,46.83667,[186552-],[186552-]
21.57064,43.23122,[187516-],[187516-]
26.97781,43.25597,[187664-],[187664-]
20.07342,45.04269,[188013-],[188013-]
26.83894,43.62894,[188475],[188475]
22.14289,43.26514,[190045-],[190045-]
21.57122,47.59219,[190623-],[190623-]
28.99325,47.75178,[191753-],[191753-]
28.99386,47.75292,[191754-],[191754-]
20.46269,45.82422,[193716-],[193716-]
20.08239,45.04625,[193718],[193718]
24.54475,47.65419,[193729-],[193729-]
29.69606,45.95294,[193811-],[193811-]
29.06917,45.70197,[194577-],[194577-]
28.86553,45.40547,[194594-],[194594-]
23.51533,43.24483,[194608-],[194608-]
29.28992,47.14878,[194665-],[194665-]
20.51631,44.71575,[195403-],[195403-]
21.13478,46.69631,[195606],[195606]
21.59775,47.55544,[195611-],[195611-]
26.16239,44.96211,[196004-],[196004-]
22.75758,43.82036,[196008],[196008]
22.78911,43.87836,[1196008001],[1196008001]
22.41189,45.88439,[196009-],[196009-]
20.41839,44.75756,[196028-],[196028-]
20.42308,44.77933,[196029-],[196029-]
20.89825,43.62778,[196035-],[196035-]
20.92908,44.65806,[196090-],[196090-]
22.73619,43.02194,"Section Control, Route length: 513 km, minimum time: 4 hours and 16 minutes.",[196201-]
22.71153,43.03958,"Section Control, Route length: 513 km, minimum time: 4 hours and 16 minutes.",[1196201001-]
